StationName	EventNum	FibreHit	Total Energy Deposit [MeV]	True PosX [mm]	True PosY [mm]	True PosZ [mm]	Station Depth [mm]	Time [ns]
St1_H	0	265	0.189956	6.9845	-1.17114	-137.747	12.2759	0.075744
St1_H	1	259	0.0821648	3.92775	-1.58034	-137.728	12.2759	0.0715846
St1_H	2	262	0.109665	4.19489	-2.74919	-137.944	12.2759	0.0702726
St1_H	3	259	0.0848069	4.25053	-1.27058	-137.734	12.2759	0.0713465
St1_H	4	258	0.108467	4.10001	-0.943048	-137.906	12.2759	0.0704914
St1_H	5	261	0.0462155	4.95893	-1.36678	-137.697	12.2759	0.0716004
St1_H	6	262	0.063947	5.40422	-1.37672	-137.915	12.2759	0.0703365
St1_H	7	258	0.0602626	4.7395	-0.319676	-137.917	12.2759	0.0705554
St1_H	9	254	0.09009	3.44631	0.0380478	-137.945	12.2759	0.0701242
St1_H	11	261	0.114268	5.03845	-1.34752	-137.735	12.2759	0.0713328
St1_H	12	263	0.0753066	6.00998	-1.21402	-137.724	12.2759	0.0713829
St1_H	13	258	0.0636374	4.74123	-0.592006	-137.88	12.2759	0.0706572
St1_H	14	258	0.0966639	5.67096	0.588233	-137.929	12.2759	0.070165
St1_H	16	257	0.0825165	3.87921	-0.854113	-137.75	12.2759	0.0714051
St1_H	17	261	0.0428327	5.41196	-0.898802	-137.679	12.2759	0.0716908
St1_H	17	262	0.00630534	6.03722	-0.94097	-137.936	12.2759	0.0700704
St1_H	17	262	0.00350723	6.03022	-0.930277	-137.919	12.2759	0.0701738
St1_H	17	262	0.00718692	6.0297	-0.919685	-137.904	12.2759	0.0702611
St1_H	17	262	0.00973167	6.02147	-0.908599	-137.884	12.2759	0.0703844
St1_H	17	262	0.0130655	6.01983	-0.89657	-137.844	12.2759	0.0705928
St1_H	17	262	0.017857	6.02027	-0.884397	-137.782	12.2759	0.0708956
St1_H	17	262	0.00865529	6.01838	-0.846563	-137.755	12.2759	0.0711373
St1_H	17	262	0.00617927	6.01592	-0.845706	-137.723	12.2759	0.071311
St1_H	18	261	0.103618	4.10342	-2.32603	-137.747	12.2759	0.0714651
St1_H	19	255	0.0845061	5.14998	1.24013	-137.748	12.2759	0.0712912
St1_H	20	259	0.0389966	4.83435	-0.614866	-137.681	12.2759	0.0716713
St1_H	21	257	0.0852437	3.72792	-1.02977	-137.75	12.2759	0.0714366
St1_H	22	262	0.0886479	3.77424	-3.20039	-137.937	12.2759	0.0704249
St1_H	23	263	0.0747929	5.58132	-1.84987	-137.729	12.2759	0.0713668
St1_H	24	263	0.0115914	5.85149	-1.65647	-137.641	12.2759	0.0720294
St1_H	25	256	0.103176	4.55844	0.377697	-137.906	12.2759	0.0703285
St1_H	26	255	0.147332	5.18333	1.23566	-137.741	12.2759	0.0714407
St1_H	27	254	0.0818868	3.63894	0.158053	-137.946	12.2759	0.0701923
St1_H	28	262	0.0985402	5.18616	-1.79137	-137.936	12.2759	0.0704006
St1_H	29	257	0.0978848	4.8482	0.122559	-137.749	12.2759	0.0713315
St1_H	30	255	0.114444	3.64308	-0.183285	-137.744	12.2759	0.071451
St1_H	30	255	0.0123864	3.64685	-0.291816	-137.743	12.2759	0.070721
St1_H	30	255	0.00984429	3.67403	-0.282268	-137.679	12.2759	0.0710115
St1_H	30	255	0.0144708	3.6939	-0.281838	-137.615	12.2759	0.0712868
St1_H	30	255	0.00464016	3.71785	-0.273311	-137.545	12.2759	0.0715948
St1_H	31	257	0.0461808	4.52499	-0.374188	-137.686	12.2759	0.0718018
St1_H	32	258	0.0846233	3.43853	-1.82502	-137.932	12.2759	0.0702577
St1_H	33	259	0.147157	5.31126	-0.300384	-137.75	12.2759	0.0712063
St1_H	34	257	0.0809949	4.04976	-0.771299	-137.738	12.2759	0.0714066
St1_H	35	260	0.027523	3.19967	-3.00295	-137.87	12.2759	0.0955539
St1_H	35	261	0.214309	3.11523	-3.18277	-137.654	12.2759	0.098608
St1_H	35	257	0.199002	6.62331	1.98828	-137.723	12.2759	0.0857015
St1_H	36	256	0.0938513	4.28299	-0.146852	-137.917	12.2759	0.0703075
St1_H	37	255	0.120167	3.987	0.0673803	-137.747	12.2759	0.0713441
St1_H	38	256	0.0803396	4.48366	0.262905	-137.93	12.2759	0.0703238
St1_H	39	261	0.0967747	4.65631	-1.6711	-137.699	12.2759	0.0716837
St1_H	40	256	0.08757	4.09472	-0.250743	-137.946	12.2759	0.0701696
St1_H	41	259	0.0224076	4.57026	-0.866586	-137.658	12.2759	0.0719916
St1_H	42	262	0.0993639	5.62374	-1.25128	-137.947	12.2759	0.0701134
St1_H	44	259	0.0622133	4.78478	-0.939885	-137.719	12.2759	0.0717391
St1_H	45	262	0.0824955	5.71434	-1.28221	-137.929	12.2759	0.0702106
St1_H	47	256	0.0959628	3.4813	-0.880827	-137.943	12.2759	0.0702228
St1_H	48	258	0.0833406	4.49708	-0.635364	-137.944	12.2759	0.0701563
St1_H	49	259	0.0964676	3.46056	-2.06705	-137.737	12.2759	0.0714868
St1_H	50	263	0.0872716	4.49487	-2.78233	-137.744	12.2759	0.0713271
St1_H	51	260	0.0421143	5.16313	-0.713031	-137.872	12.2759	0.0706793
St1_H	52	255	0.100698	3.44244	-0.461948	-137.749	12.2759	0.071393
St1_H	53	262	0.102563	5.41401	-1.5292	-137.945	12.2759	0.0701504
St1_H	54	256	0.0925894	3.50554	-0.818205	-137.948	12.2759	0.0700736
St1_H	55	262	0.181625	4.68565	-2.1604	-137.942	12.2759	0.070215
St1_H	56	261	0.0381668	3.81285	-2.8179	-137.677	12.2759	0.071785
St1_H	57	262	0.0937506	4.66685	-2.20766	-137.947	12.2759	0.0703113
St1_H	59	255	0.181839	5.37581	1.50143	-137.75	12.2759	0.0713043
St1_H	60	261	0.10157	4.27002	-2.20265	-137.75	12.2759	0.0713893
St1_H	61	258	0.0871455	4.08545	-1.01329	-137.936	12.2759	0.0701992
St1_H	62	257	0.10784	4.32341	-0.505266	-137.735	12.2759	0.0713497
St1_H	63	260	0.035863	3.83245	-2.3641	-137.879	12.2759	0.070518
St1_H	64	258	0.0627144	4.82263	-0.506459	-137.886	12.2759	0.0705754
St1_H	66	262	0.050913	5.44673	-1.60231	-137.892	12.2759	0.070447
St1_H	67	263	0.120294	3.75048	-3.5816	-137.75	12.2759	0.0714069
St1_H	68	257	0.13639	4.53568	-0.180307	-137.748	12.2759	0.071235
St1_H	69	259	0.145961	4.25735	-1.25708	-137.731	12.2759	0.071514
St1_H	69	258	0.0148218	4.14098	-1.20745	-137.851	12.2759	0.0705796
St1_H	69	258	0.0163349	4.11729	-1.17382	-137.787	12.2759	0.070887
St1_H	69	258	0.00799869	4.0615	-1.12779	-137.727	12.2759	0.0712693
St1_H	70	256	0.0967011	5.58757	1.28157	-137.948	12.2759	0.0703634
St1_H	71	258	0.0744693	5.64091	0.333141	-137.907	12.2759	0.0703539
St1_H	72	261	0.103552	4.54552	-1.91617	-137.75	12.2759	0.0713675
St1_H	73	252	0.0860089	3.8709	1.40664	-137.912	12.2759	0.0704303
St1_H	73	251	0.0130543	3.71764	1.38559	-137.641	12.2759	0.0710584
St1_H	73	251	0.0023408	3.73016	1.4122	-137.582	12.2759	0.071331
St1_H	74	259	0.0808699	4.41383	-1.14617	-137.745	12.2759	0.0713941
St1_H	75	255	0.0224174	5.12496	1.07366	-137.661	12.2759	0.0718911
St1_H	76	259	0.0674436	4.21805	-1.48692	-137.729	12.2759	0.0715077
St1_H	77	263	0.119588	5.35092	-2.02213	-137.747	12.2759	0.071391
St1_H	79	258	0.0910091	4.08702	-1.13821	-137.943	12.2759	0.0701864
St1_H	80	260	0.259083	3.46994	-2.60399	-137.946	12.2759	0.0700889
St1_H	81	260	0.0859736	5.30043	-0.794306	-137.942	12.2759	0.0702908
St1_H	82	259	0.0966682	4.00439	-1.64869	-137.746	12.2759	0.0714255
St1_H	84	261	0.0896383	4.72998	-1.68346	-137.743	12.2759	0.0712712
St1_H	85	261	0.121622	4.69492	-1.78844	-137.75	12.2759	0.071553
St1_H	86	263	0.0602989	5.54445	-1.64793	-137.701	12.2759	0.0716933
St1_H	87	252	0.086278	3.88905	1.19009	-137.921	12.2759	0.0703121
St1_H	88	253	0.0873763	3.66869	0.651804	-137.75	12.2759	0.071285
St1_H	89	257	0.105015	3.88179	-0.869677	-137.75	12.2759	0.0714089
St1_H	90	260	0.0697884	5.21891	-0.952763	-137.906	12.2759	0.0704193
St1_H	92	256	0.0824913	3.6145	-0.574177	-137.912	12.2759	0.0702951
St1_H	93	250	0.0619897	3.90128	2.04204	-137.905	12.2759	0.0704138
St1_H	94	263	0.0812254	4.30454	-2.99154	-137.747	12.2759	0.0712346
St1_H	95	258	0.0923426	4.45711	-0.704045	-137.948	12.2759	0.0700639
St1_H	96	257	0.048537	5.59373	0.705933	-137.698	12.2759	0.0715441
St1_H	97	257	0.0492467	5.22784	0.340451	-137.699	12.2759	0.0718738
St1_H	98	264	0.107233	5.32487	-2.31203	-137.91	12.2759	0.0704436
St1_H	99	263	0.060131	4.974	-2.49083	-137.708	12.2759	0.0717083
St1_H	100	258	0.10337	3.73967	-1.51839	-137.934	12.2759	0.0702644
St1_H	101	259	0.105675	4.37961	-1.23955	-137.75	12.2759	0.0712735
St1_H	102	257	0.0960054	4.11546	-0.630999	-137.75	12.2759	0.0713136
St1_H	103	260	0.0985386	5.63642	-0.316463	-137.932	12.2759	0.0701494
St1_H	104	258	0.0795066	5.56679	0.487017	-137.928	12.2759	0.0703326
St1_H	105	262	0.0414835	4.57744	-2.16894	-137.883	12.2759	0.0706751
St1_H	106	265	0.0694691	5.02132	-3.34078	-137.667	12.2759	0.0719638
St1_H	107	258	0.106194	3.56416	-1.744	-137.906	12.2759	0.0704205
St1_H	108	263	0.0848733	3.97532	-3.3124	-137.746	12.2759	0.0714979
St1_H	110	256	0.16885	4.88924	0.486081	-137.931	12.2759	0.0702483
St1_H	111	257	0.0812957	3.80212	-0.798133	-137.697	12.2759	0.0717702
St1_H	112	263	0.0952479	5.47498	-1.84275	-137.75	12.2759	0.0713187
St1_H	113	255	0.00722562	4.76787	0.709675	-137.635	12.2759	0.0721223
St1_H	114	257	0.0881287	3.90404	-0.889565	-137.745	12.2759	0.0713483
St1_H	115	255	0.0702384	3.936	0.176353	-137.715	12.2759	0.0716016
St1_H	116	254	0.0711583	3.64512	0.297389	-137.925	12.2759	0.0701909
St1_H	117	261	0.0612977	3.82984	-2.49562	-137.697	12.2759	0.0718247
St1_H	118	260	0.0348631	5.08523	-1.12571	-137.851	12.2759	0.0708889
St1_H	120	260	0.146303	3.75615	-2.27803	-137.948	12.2759	0.0702999
St1_H	122	266	0.0307446	5.80861	-2.98679	-137.861	12.2759	0.0706481
St1_H	123	260	0.17293	5.57334	-0.461517	-137.948	12.2759	0.071201
St1_H	124	261	0.0635732	5.17368	-1.39678	-137.728	12.2759	0.0714815
St1_H	125	260	0.09755	4.19098	-1.8074	-137.945	12.2759	0.0702087
St1_H	126	259	0.22173	4.30923	-1.20194	-137.73	12.2759	0.0715089
St1_H	127	258	0.0919185	3.68257	-1.57285	-137.935	12.2759	0.0703739
St1_H	129	261	0.0590525	5.32821	-1.01811	-137.714	12.2759	0.071519
St1_H	130	259	0.112944	3.83749	-1.88701	-137.719	12.2759	0.0716258
St1_H	133	260	0.0582528	5.18987	-0.715918	-137.906	12.2759	0.07049
St1_H	135	263	0.0610044	4.73812	-2.47163	-137.715	12.2759	0.071474
St1_H	136	258	0.0601276	4.25492	-1.04991	-137.909	12.2759	0.0704602
St1_H	136	259	0.00708033	4.40167	-1.17073	-137.748	12.2759	0.0707309
St1_H	136	259	0.0214529	4.42926	-1.18799	-137.724	12.2759	0.0709047
St1_H	136	259	0.00939629	4.46058	-1.20384	-137.709	12.2759	0.0710708
St1_H	136	259	0.00736733	4.48499	-1.21989	-137.681	12.2759	0.07125
St1_H	136	259	0.00796927	4.51865	-1.24111	-137.661	12.2759	0.0714487
St1_H	137	259	0.113643	4.63333	-1.01482	-137.747	12.2759	0.0714832
St1_H	138	266	0.0464567	4.55041	-3.92368	-137.886	12.2759	0.0707139
St1_H	139	257	0.0296372	4.78247	-0.127708	-137.669	12.2759	0.0717053
St1_H	140	263	0.0574497	4.61792	-2.86662	-137.689	12.2759	0.0717662
St1_H	142	250	0.161858	3.50167	1.65553	-137.914	12.2759	0.0704384
St1_H	143	259	0.0703851	4.81278	-0.671935	-137.715	12.2759	0.071645
St1_H	144	266	0.0919059	4.56685	-4.03303	-137.947	12.2759	0.0702686
St1_H	145	252	0.0948925	3.64107	0.93609	-137.917	12.2759	0.0702756
St1_H	146	257	0.106807	3.8056	-0.925375	-137.75	12.2759	0.0712305
St1_H	147	257	0.0944616	5.04356	0.26786	-137.748	12.2759	0.0713218
