"z,"	"dz,"	"T,"	"yPln,"	"dV,"	"yi,"	"y,"	"E,"	"p,"	"relbeta,"	"relgamma,"	relgamma*relbeta
0	0.03003003	206.1816942	1.26E-05	0.000943658	5.085255949	5388.874017	1144.451694	655.3007611	0.572589271	1.219746655	0.698413848
0.03003003	0.03003003	206.0542587	1.26E-05	0.000943659	5.085549248	5389.183949	1144.324259	655.0781755	0.572458524	1.219610836	0.698176618
0.06006006	0.03003003	205.9267624	1.26E-05	0.000943659	5.085844327	5389.495765	1144.196762	654.8554331	0.57232764	1.219474951	0.697939221
0.09009009	0.03003003	205.7992053	1.26E-05	0.000943659	5.086141189	5389.809469	1144.069205	654.6325333	0.572196621	1.219339002	0.697701657
0.12012012	0.03003003	205.6715873	1.26E-05	0.000943659	5.086439842	5390.125068	1143.941587	654.4094761	0.572065465	1.219202988	0.697463924
0.15015015	0.03003003	205.5439084	1.26E-05	0.000943659	5.086740289	5390.442567	1143.813908	654.186261	0.571934172	1.219066909	0.697226023
0.18018018	0.03003003	205.4161683	1.26E-05	0.000943659	5.087042536	5390.761973	1143.686168	653.9628878	0.571802743	1.218930764	0.696987954
0.21021021	0.03003003	205.288367	1.26E-05	0.000943659	5.087346589	5391.083291	1143.558367	653.7393562	0.571671176	1.218794555	0.696749716
0.24024024	0.03003003	205.1605044	1.26E-05	0.00094366	5.087652454	5391.406526	1143.430504	653.5156659	0.571539471	1.21865828	0.696511309
0.27027027	0.03003003	205.0325805	1.26E-05	0.00094366	5.087960136	5391.731685	1143.30258	653.2918166	0.571407629	1.21852194	0.696272732
0.3003003	0.03003003	204.904595	1.26E-05	0.00094366	5.088269639	5392.058774	1143.174595	653.067808	0.571275648	1.218385534	0.696033986
0.33033033	0.03003003	204.776548	1.27E-05	0.00094366	5.088580971	5392.387798	1143.046548	652.8436397	0.571143529	1.218249063	0.695795069
0.36036036	0.03003003	204.6484393	1.27E-05	0.00094366	5.088894137	5392.718764	1142.918439	652.6193116	0.571011272	1.218112525	0.695555982
0.39039039	0.03003003	204.5202688	1.27E-05	0.00094366	5.089209141	5393.051676	1142.790269	652.3948233	0.570878875	1.217975922	0.695316725
0.42042042	0.03003003	204.3920364	1.27E-05	0.000943661	5.08952599	5393.386542	1142.662036	652.1701745	0.570746339	1.217839254	0.695077296
0.45045045	0.03003003	204.263742	1.27E-05	0.000943661	5.08984469	5393.723367	1142.533742	651.9453649	0.570613664	1.217702519	0.694837696
0.48048048	0.03003003	204.1353856	1.27E-05	0.000943661	5.090165246	5394.062157	1142.405386	651.7203942	0.570480849	1.217565717	0.694597924
0.510510511	0.03003003	204.006967	1.27E-05	0.000943661	5.090487663	5394.402919	1142.276967	651.4952621	0.570347894	1.21742885	0.69435798
0.540540541	0.03003003	203.8784861	1.27E-05	0.000943661	5.090811948	5394.745657	1142.148486	651.2699682	0.570214798	1.217291916	0.694117864
0.570570571	0.03003003	203.7499429	1.27E-05	0.000943661	5.091138106	5395.090379	1142.019943	651.0445124	0.570081562	1.217154916	0.693877575
0.600600601	0.03003003	203.6213372	1.27E-05	0.000943661	5.091466143	5395.43709	1141.891337	650.8188942	0.569948184	1.217017849	0.693637113
0.630630631	0.03003003	203.4926689	1.27E-05	0.000943662	5.091796065	5395.785797	1141.762669	650.5931133	0.569814666	1.216880715	0.693396478
0.660660661	0.03003003	203.3639379	1.27E-05	0.000943662	5.092127877	5396.136505	1141.633938	650.3671696	0.569681005	1.216743515	0.693155669
0.690690691	0.03003003	203.2351441	1.28E-05	0.000943662	5.092461586	5396.489221	1141.505144	650.1410625	0.569547203	1.216606248	0.692914686
0.720720721	0.03003003	203.1062875	1.28E-05	0.000943662	5.092797196	5396.843951	1141.376288	649.914792	0.569413259	1.216468914	0.692673529
